[INFO]2026-01-30 20:13:02 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:02:05 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:02:05 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:02:05 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:02:45 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:02:45 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:02:45 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:02:45 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:04:27 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:04:27 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:04:27 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:04:27 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:06:10 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:06:10 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:06:10 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:06:10 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:06:21 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:06:21 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:06:21 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:06:21 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:06:55 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:06:55 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:06:55 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:06:55 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:09:23 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:09:23 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:09:23 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:09:23 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:20:10 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:20:10 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:20:10 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:20:10 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:23:13 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:23:13 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:23:13 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:23:13 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:25:43 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:25:43 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:25:43 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:25:43 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:26:36 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:26:36 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:26:36 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:26:36 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:32:31 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:32:31 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:32:31 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:32:31 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:33:09 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:33:09 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:33:09 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:33:09 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:36:48 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:36:48 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:36:48 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:36:48 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:37:10 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:37:10 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:37:10 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:37:10 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:37:49 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:37:49 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:37:49 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:37:49 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:39:05 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:39:05 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:39:05 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:39:05 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:40:26 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:40:26 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:40:26 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:40:26 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:40:53 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:40:53 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:40:53 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:40:53 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:40:53 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:40:53 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:40:53 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:40:53 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:40:54 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:40:54 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:40:54 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:40:54 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:40:54 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:40:54 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:40:54 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:40:54 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:40:54 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:40:54 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:40:54 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:40:54 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:40:54 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:40:54 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:40:54 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:40:54 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:41:09 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:41:09 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:41:09 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:41:09 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:41:24 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:41:24 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:41:24 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:41:24 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:41:38 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:41:38 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:41:38 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:41:38 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:41:48 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:41:48 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:41:48 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:41:48 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:42:34 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:42:34 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:42:34 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:42:35 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:44:09 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:44:09 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:44:09 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:44:09 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:45:29 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:45:29 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:45:29 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:45:29 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:46:23 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:46:23 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:46:23 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:46:23 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:47:20 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:47:20 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:47:20 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:47:20 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:47:38 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:47:38 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:47:38 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:47:38 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:47:57 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:47:57 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:47:57 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:47:57 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:48:17 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:48:17 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:48:17 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:48:17 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:48:35 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:48:35 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:48:35 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:48:35 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:49:58 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:49:58 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:49:58 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:49:58 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:51:38 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:51:38 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:51:38 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:51:38 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 18:58:32 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 18:58:32 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 18:58:32 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 18:58:32 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:08:31 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:08:31 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:08:31 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:08:31 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:09:06 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:09:06 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:09:06 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:09:06 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:10:59 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:10:59 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:10:59 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:10:59 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:11:16 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:11:16 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:11:16 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:11:16 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:11:17 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:11:18 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:11:18 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:11:18 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:11:18 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:11:18 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:11:18 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:11:18 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:11:19 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:11:19 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:11:19 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:11:19 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:15:07 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:15:07 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:15:07 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:15:07 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:16:13 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:16:13 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:16:13 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:16:13 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:17:03 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:17:03 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:17:03 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:17:03 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:23:22 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:23:22 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:23:22 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:23:22 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:23:58 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:23:58 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:23:59 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:23:59 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:24:16 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:24:16 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:24:16 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:24:16 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:24:31 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:24:31 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:24:31 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:24:31 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:25:49 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:25:49 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:25:49 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:25:49 - Libro creado: libro4, isbn g min
[INFO]2026-02-01 19:27:22 - Libro creado: libro1, isbn b min
[INFO]2026-02-01 19:27:22 - Libro creado: libro2, isbn d min
[INFO]2026-02-01 19:27:22 - Libro creado: libro3, isbn f min
[INFO]2026-02-01 19:27:22 - Libro creado: libro4, isbn g min
[INFO]2026-02-02 11:25:11 - Libro creado: libro1, isbn b min
[INFO]2026-02-02 11:25:11 - Libro creado: libro2, isbn d min
[INFO]2026-02-02 11:25:11 - Libro creado: libro3, isbn f min
[INFO]2026-02-02 11:25:11 - Libro creado: libro4, isbn g min
[INFO]2026-02-02 16:09:40 - Libro creado: libro1, isbn b min
[INFO]2026-02-02 16:09:40 - Libro creado: libro2, isbn d min
[INFO]2026-02-02 16:09:40 - Libro creado: libro3, isbn f min
[INFO]2026-02-02 16:09:41 - Libro creado: libro4, isbn g min
[INFO]2026-02-02 17:04:32 - Libro creado: libro1, isbn b min
[INFO]2026-02-02 17:04:33 - Libro creado: libro2, isbn d min
[INFO]2026-02-02 17:04:33 - Libro creado: libro3, isbn f min
[INFO]2026-02-02 17:04:33 - Libro creado: libro4, isbn g min
[INFO]2026-02-02 17:04:42 - Libro creado: libro1, isbn b min
[INFO]2026-02-02 17:04:42 - Libro creado: libro2, isbn d min
[INFO]2026-02-02 17:04:42 - Libro creado: libro3, isbn f min
[INFO]2026-02-02 17:04:42 - Libro creado: libro4, isbn g min
[INFO]2026-02-02 17:28:02 - Libro creado: libro1, isbn b min
[INFO]2026-02-02 17:28:02 - Libro creado: libro2, isbn d min
[INFO]2026-02-02 17:28:02 - Libro creado: libro3, isbn f min
[INFO]2026-02-02 17:28:02 - Libro creado: libro4, isbn g min
[INFO]2026-02-02 17:28:48 - Libro creado: libro1, isbn b min
[INFO]2026-02-02 17:28:48 - Libro creado: libro2, isbn d min
[INFO]2026-02-02 17:28:48 - Libro creado: libro3, isbn f min
[INFO]2026-02-02 17:28:48 - Libro creado: libro4, isbn g min
[INFO]2026-02-02 17:28:59 - Libro creado: libro1, isbn b min
[INFO]2026-02-02 17:28:59 - Libro creado: libro2, isbn d min
[INFO]2026-02-02 17:28:59 - Libro creado: libro3, isbn f min
[INFO]2026-02-02 17:28:59 - Libro creado: libro4, isbn g min
[INFO]2026-02-04 16:59:26 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-04 16:59:26 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-04 17:00:18 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-04 17:00:18 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-04 17:03:52 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-04 17:03:52 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-04 17:05:47 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-04 17:05:47 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-04 17:05:53 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-04 17:05:53 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-04 17:14:10 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-04 17:14:12 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-06 12:04:03 - Libro creado: libro1, isbn b min
[INFO]2026-02-06 12:04:03 - Libro creado: libro2, isbn d min
[INFO]2026-02-06 12:04:03 - Libro creado: libro3, isbn f min
[INFO]2026-02-06 12:04:03 - Libro creado: libro4, isbn g min
[INFO]2026-02-06 12:04:47 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-06 12:04:47 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-06 12:39:45 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-06 12:39:45 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-06 12:42:43 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-06 12:42:43 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-06 12:56:34 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-06 12:57:00 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-06 16:14:08 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-06 16:14:09 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-06 16:22:05 - Libro creado: Libro de prueba, isbn Autor de prueba min
[INFO]2026-02-06 16:22:06 - Libro creado: Libro de prueba, isbn Autor de prueba min
